ID;WAARDELIJSTID;CODE;WAARDE;VANAF;TOT;TOELICHTING
1218;4;2239;Bantega;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2239
1219;4;2240;Delfstrahuizen;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2240
1220;4;2241;Echten;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2241
1221;4;2242;Echtenerbrug;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2242
1222;4;2243;Eesterga;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2243
1223;4;2244;Follega;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2244
1224;4;2245;Lemmer;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2245
1225;4;2246;Oosterzee;2010-01-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2246
1226;4;2248;Klarenbeek;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2248
1227;4;2250;Lieren;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2250
1228;4;2251;Loenen;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2251
1229;4;2254;Beemte Broekland;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2254
1230;4;2256;Ugchelen;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2256
1231;4;2257;Hoenderloo;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2257
1232;4;2258;Beekbergen;2012-06-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2258
1233;4;2259;Boerakker;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2259
1234;4;2260;De Wilp;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2260
1235;4;2261;Jonkersvaart;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2261
1236;4;2262;Lucaswolde;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2262
1237;4;2263;Marum;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2263
1238;4;2264;Niebert;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2264
1239;4;2265;Noordwijk;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2265
1240;4;2266;Nuis;2009-02-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2266
1241;4;2267;Akersloot;2009-09-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2267
1242;4;2268;Castricum;2009-09-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2268
1243;4;2269;de Woude;2009-09-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2269
1244;4;2270;Limmen;2009-09-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2270
1245;4;2271;Leerdam;2014-01-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2271
1246;4;2272;Schoonrewoerd;2014-01-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2272
1247;4;2273;Kedichem;2008-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2273
1248;4;2274;Oosterwijk;2008-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2274
1249;4;2275;Borgercompagnie;2008-12-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2275
1250;4;2276;Tripscompagnie;2008-12-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2276
1251;4;2277;Meeden;2008-12-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2277
1252;4;2278;Muntendam;2008-12-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2278
1253;4;2279;Noordbroek;2008-12-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2279
1254;4;2280;Zuidbroek;2008-12-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2280
1255;4;2281;Roermond;2009-03-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2281
1256;4;2282;Herten;2009-03-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2282
1257;4;2283;Swalmen;2009-03-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2283
1258;4;2284;Jisp;2009-09-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2284
1259;4;2285;Oostknollendam;2009-09-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2285
1260;4;2286;Spijkerboor;2009-09-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2286
1261;4;2287;Wormer;2009-09-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2287
1262;4;2288;Wijdewormer;2009-09-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2288
1263;4;2289;Millingen aan de Rijn;2010-05-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2289
1264;4;2291;Groesbeek;2016-02-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2291
1265;4;2292;Heilig Landstichting;2010-06-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2292
1266;4;2293;Zoetermeer;2008-11-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2293
1267;4;2294;Bourtange;2009-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2294
1268;4;2295;Sellingen;2009-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2295
